id,대표발의자,공동발의자
0,윤영덕,"강민정,김승원,민형배,송갑석,위성곤,유정주,이병훈,이수진,이용선,이용우,이형석,주철현"
1,김예지,"김선교,김승수,김용판,윤미향,이용빈,이종성,이주환,임병헌,지성호"
2,윤영덕,"강민정,김승원,민형배,송갑석,위성곤,유정주,이동주,이병훈,이수진,이용선,이용우,주철현"
3,이종성,"김승수,김예지,김형동,박대수,윤영석,이명수,정우택,정운천,조명희"
4,윤영덕,"김승원,민형배,송갑석,위성곤,유정주,이동주,이병훈,이수진,이용선,이용우,이형석,주철현"
5,이종배,"김예지,박성민,서병수,성일종,이종성,정우택,조명희,최형두,홍문표"
6,신현영,"강민정,김병기,김병욱,김승원,김정호,서삼석,송옥주,오영환,유정주,윤영덕,윤재갑,이용빈,이용우,임호선,정필모,주철현,홍기원,홍정민"
7,김기현,"강대식,박성민,백종헌,양금희,유상범,윤창현,조명희,지성호,하영제"
8,김기현,"강대식,박성민,백종헌,양금희,유상범,윤창현,조명희,지성호,하영제"
9,김기현,"권명호,김석기,김정재,박덕흠,윤두현,윤창현,윤한홍,이채익,정진석,조수진,지성호"
10,신현영,"강민정,강병원,고민정,김병기,오영환,유정주,최기상,최종윤,허종식"
11,김병기,"기동민,김진표,김홍걸,안규백,전용기,정일영,한준호,홍기원,홍영표"
12,이개호,"김병기,김주영,서삼석,신정훈,오영환,위성곤,윤재갑,이병훈,최기상"
13,이개호,"김병기,김주영,박완주,서삼석,신정훈,오영환,위성곤,윤재갑,이병훈,최기상"
14,정우택,"구자근,김승수,김예지,백종헌,이종성,조경태,지성호,태영호,하영제"
15,구자근,"강민국,김도읍,김예지,배준영,양금희,이용호,임이자,정우택,추경호"
16,정우택,"구자근,김승수,김예지,백종헌,이종성,조경태,지성호,태영호,하영제"
17,이용,"강대식,강민국,김석기,김정재,박성민,박성중,배준영,서정숙,이채익"
18,김병기,"기동민,김경협,김병욱,김영배,김진표,신현영,안규백,전용기,정일영,한준호,홍영표"
19,김병기,"기동민,김경협,김병욱,김진표,신현영,이개호,전용기,정일영,한준호,홍영표"
20,이용,"강대식,강민국,김병욱,김석기,김정재,박성민,박성중,배준영,백종헌,서정숙,이채익"
21,김병기,"기동민,김병욱,김진표,안규백,이개호,전용기,정일영,한준호,홍기원,홍영표"
22,지성호,"김상훈,김예지,박대수,서일준,성일종,양금희,윤한홍,이주환,정우택,허은아"
23,김예지,"강훈식,구자근,권명호,김선교,류호정,이종배,이채익,장혜영,최혜영,태영호"
24,김예지,"강훈식,구자근,권명호,김선교,류호정,이채익,장혜영,최혜영,태영호"
25,정우택,"권명호,김예지,송석준,유경준,이종배,정운천,조경태,지성호,한무경"
26,이채익,"김석기,김승수,김예지,성일종,윤상현,윤영석,이상헌,이종배,정운천"
27,이채익,"김석기,김승수,김예지,서정숙,성일종,윤상현,윤영석,이상헌,정운천"
28,이채익,"김석기,김승수,김예지,성일종,윤상현,윤영석,이상헌,정운천,최형두"
29,이채익,"김석기,김승수,김예지,성일종,윤상현,윤영석,이상헌,이종배,정운천"
30,이수진,"강민정,권인숙,김상희,김원이,김윤덕,김철민,민형배,서동용,신정훈,안호영,어기구,윤준병,이수진,이용선,이탄희,전용기,정필모,진성준,한준호"
31,양정숙,"김성주,김수흥,김승남,안호영,위성곤,윤준병,이상헌,이용빈,최연숙,한병도"
32,하영제,"김기현,김상훈,김선교,김용판,김형동,윤재갑,윤한홍,임이자,하태경"
33,이용우,"강민정,김민철,오기형,윤영덕,이병훈,이소영,이정문,정필모,홍정민"
34,양금희,"구자근,김선교,박성중,박진,배준영,서일준,성일종,윤창현,이주환,지성호"
35,성일종,"권성동,백종헌,양금희,이명수,이종배,이채익,정운천,최춘식,최형두"
36,유상범,"김병욱,김선교,김희곤,박대수,박형수,서일준,안병길,양금희,윤두현,이종성,전봉민,조은희,한무경,홍석준"
37,하영제,"김기현,김선교,김승수,박대출,박덕흠,박성민,송석준,정우택,하태경"
38,김윤덕,"강선우,강훈식,김성주,박상혁,안호영,윤후덕,이용빈,이학영,최기상"
39,조경태,"김용판,박성민,배현진,백종헌,서정숙,정경희,정동만,조명희,하영제"
40,한무경,"김상훈,김승수,김영식,박진,엄태영,이헌승,정우택,정운천,조명희"
41,안병길,"권명호,김선교,김태호,김학용,박대수,백종헌,서병수,이종성,전봉민,최춘식"
42,안병길,"권명호,김선교,김태호,김학용,박대수,백종헌,서병수,이종성,전봉민,최춘식"
43,양경숙,"김교흥,김두관,김주영,위성곤,이동주,이병훈,이수진,정성호,황운하"
44,양정숙,"고영인,김승남,서영교,심상정,안호영,윤준병,이상헌,이은주,황운하"
45,박홍근,"강민정,문정복,민홍철,신동근,신정훈,이병훈,이탄희,전재수,전혜숙,최기상,한준호"
46,안병길,"권명호,김선교,김태호,김학용,박대수,백종헌,서병수,이종성,전봉민,최춘식"
47,안병길,"권명호,김상훈,김선교,김태호,김학용,박대수,백종헌,서병수,이종성,전봉민,최춘식"
48,정우택,"김예지,백종헌,서병수,윤영석,이종성,이채익,조해진,지성호,태영호"
