id,이름,세대,나이,년도,정당명,선거구,재선,선수,소속 위원회 목록,성별
0,강기윤,BABM,62,1960,국민의힘,경남 창원시성산구,재선,2,보건복지위원회,남
1,강대식,BABM,63,1959,국민의힘,대구 동구을,초선,1,"국방위원회, 정치개혁 특별위원회",남
2,강득구,BABM,59,1963,더불어민주당,경기 안양시만안구,초선,1,"교육위원회, 예산결산특별위원회, 국회운영위원회",남
3,강민국,X,51,1971,국민의힘,경남 진주시을,초선,1,"정무위원회, 중앙선거관리위원회 위원(문상부) 선출에 관한 인사청문특별위원회, 정치개혁 특별위원회",남
4,강민정,BABM,61,1961,더불어민주당,비례대표,초선,1,"교육위원회, 국회운영위원회, 예산결산특별위원회",여
5,강병원,X,51,1971,더불어민주당,서울 은평구을,재선,2,"보건복지위원회, 국무총리후보자(한덕수)에 관한 인사청문특별위원회",남
6,강선우,X,44,1978,더불어민주당,서울 강서구갑,초선,1,"보건복지위원회, 예산결산특별위원회, 여성가족위원회",여
7,강은미,X,52,1970,정의당,비례대표,초선,1,"환경노동위원회, 예산결산특별위원회",여
8,강준현,BABM,58,1964,더불어민주당,세종특별자치시을,초선,1,"국토교통위원회, 예산결산특별위원회",남
9,강훈식,X,49,1973,더불어민주당,충남 아산시을,재선,2,산업통상자원중소벤처기업위원회,남
10,고민정,X,43,1979,더불어민주당,서울 광진구을,초선,1,"보건복지위원회, 예산결산특별위원회, 국회운영위원회",여
11,고영인,BABM,59,1963,더불어민주당,경기 안산시단원구갑,초선,1,보건복지위원회,남
12,고용진,BABM,58,1964,더불어민주당,서울 노원구갑,재선,2,기획재정위원회,남
13,구자근,X,55,1967,국민의힘,경북 구미시갑,초선,1,산업통상자원중소벤처기업위원회,남
14,권명호,BABM,61,1961,국민의힘,울산 동구,초선,1,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",남
15,권성동,BABM,62,1960,국민의힘,강원 강릉시,4선,4,"국회운영위원회, 정보위원회, 외교통일위원회",남
16,권영세,BABM,63,1959,국민의힘,서울 용산구,4선,4,환경노동위원회,남
17,권은희,X,48,1974,국민의힘,비례대표,3선,3,정무위원회,여
18,권인숙,BABM,58,1964,더불어민주당,비례대표,초선,1,"여성가족위원회, 교육위원회",여
19,권칠승,X,57,1965,더불어민주당,경기 화성시병,재선,2,농림축산식품해양수산위원회,남
20,기동민,X,56,1966,더불어민주당,서울 성북구을,재선,2,국방위원회,남
